Month,,Year,Date,Data Retrieval (ms),Summary Calculations (ms),Prediction Calculations (ms),Saving Prediction Data (ms),Total Time (ms)
April,4,2016,2016-04-01,828,538,60,285,1711
February,2,2016,2016-02-01,760,268,195,215,1438
January,1,2016,2016-01-01,1001,469,232,355,2057
June,6,2016,2016-06-01,520,242,159,105,1026
March,3,2016,2016-03-01,483,185,209,99,976
May,5,2016,2016-05-01,437,184,159,72,852
January,1,2017,2017-01-01,521,184,362,224,1291
December,12,2016,2016-12-01,686,181,229,83,1179
November,11,2016,2016-11-01,483,179,182,76,920
October,10,2016,2016-10-01,475,184,178,77,914
September,9,2016,2016-09-01,664,193,172,77,1106
August,8,2016,2016-08-01,491,187,152,111,941
July,7,2016,2016-07-01,589,200,227,96,1112
