PolicyId,Year,Month,PrevMonth,MeanTimeBetween,TimingProb,TargetMean,Efm,EfmI,EfmD,EstimatedPayout,ActualPayout,PercentError,,,EstimatedPayout,ActualPayout,PercentError
10,2016,April,January,4,0,2375.88,-0.0157220691,0,0,0,0,0,,Mean,42.1558177896,36.3870888847,30.1094312889
15,2016,April,February,3.5,1.1666666667,128.5633333333,-1.1251975204,0,0,318.76,0,100,,Standard Error,0.9948218219,1.1533806298,4.763899356
76,2016,April,April,1.375,1.1774193548,137.6377777778,0.12404116,0,0,141.96,110.57,28.3892556751,,Mode,0,0,0
97,2016,April,December,0,0,0,0,0,0,0,0,0,,Median,0,0,0
133,2016,April,April,1.4285714286,1.4166666667,9.9625,0,0,0,14.11,0,100,,First Quartile ,0,0,0
141,2016,April,February,5,1.0833333333,35.71,0,0,0,38.69,0,100,,Third Quartile,0,0,0
198,2016,April,April,3,0,0,0,0,0,0,0,0,,Variance,31198.3714978785,41935.9635167848,715428.891521778
256,2016,April,January,3,0,36.535,0,0,0,0,73.07,-100,,Standard Deviation,176.6306074775,204.7827227009,845.8302971174
257,2016,April,January,4,0,79.92,-0.2037689327,0,0,0,0,0,,Kurtosis,1240.7775443954,134.4245441575,23069.0649751536
264,2016,April,March,2.3333333333,1.1428571429,82.0675,0,0,0,93.79,0,100,,Skewness,21.1127915505,10.2671046514,143.4368340813
346,2016,April,February,4,0,29.07,0,0,0,0,0,0,,Range,13784.61,4673.27,138832.558139535
419,2016,April,June,0,0,221.46,0,0,0,0,0,0,,Minimum,0,0,-100
483,2016,April,March,1.6666666667,1.125,165.5175,1,0,0,0,0,0,,Maximum,13784.61,4673.27,138732.558139535
496,2016,April,January,2,0,0,0,0,0,0,0,0,,Sum,1328920,1147066.59,949169.71195208
561,2016,April,October,0,0,272.14,0,0,0,0,0,0,,Count,31524,31524,31524
585,2016,April,March,3.3333333333,1.1346153846,321.2475,0.1518358354,0,0,309.15,0,100,,,,,
591,2016,April,December,0,0,177.47,0,0,0,0,0,0,,OVERALL,1328920,1147066.59,15.85%
617,2016,April,January,2,0,69.6933333333,0,0,0,0,0,0,,,,,
628,2016,April,December,0,0,113.98,0,0,0,0,0,0,,,,,
659,2016,April,January,5,0,181.625,-0.3170632957,0,0,0,0,0,,,,,
705,2016,April,April,2.6666666667,1.5,74.6475,-0.523163582,0,0,170.55,45.51,274.7528015821,,,,,
743,2016,April,March,2.5,1.75,47.13,0,0,0,82.48,0,100,,,,,
753,2016,April,March,1,0,64.93,1,0,0,0,0,0,,,,,
755,2016,April,March,2,0,40.67,0,0,0,0,0,0,,,,,
758,2016,April,March,2.25,1.2272727273,108.008,-0.0408384397,0,0,137.97,0,100,,,,,
859,2016,April,April,1.6666666667,1.25,97.5357142857,0.0125973338,0,0,120.38,67.8,77.5516224189,,,,,
877,2016,April,January,1,0,282.18,-0.1037227214,0,0,0,515.88,-100,,,,,
883,2016,April,January,1,0,0,0,0,0,0,0,0,,,,,
917,2016,April,May,0,0,886.29,0,0,0,0,0,0,,,,,
958,2016,April,March,2,0,209.875,0,0,0,0,0,0,,,,,
961,2016,April,March,1.5714285714,1.1666666667,34.99125,0,0,0,40.82,0,100,,,,,
1011,2016,April,October,0,0,400.71,0,0,0,0,0,0,,,,,
1081,2016,April,April,2,1.1666666667,73.568,-0.1273522976,0,0,96.76,57.43,68.4833710604,,,,,
1086,2016,April,January,6,0,74.52,0,0,0,0,0,0,,,,,
1111,2016,April,January,1,0,57.965,0,0,0,0,0,0,,,,,
1149,2016,April,January,2,0.75,35.5166666667,0,0,0,26.64,0,100,,,,,
1208,2016,April,October,0,0,0,0,0,0,0,0,0,,,,,
1321,2016,April,March,2,0,949.49,0,0,0,0,0,0,,,,,
1322,2016,April,March,0,0,1703.51,0,0,0,0,0,0,,,,,
1324,2016,April,March,8,0,157.55,-1.4847568657,0,0,0,0,0,,,,,
1348,2016,April,January,3,1,25.95,0,0,0,25.95,0,100,,,,,
1362,2016,April,July,0,0,98.81,0,0,0,0,0,0,,,,,
1372,2016,April,January,4,1.0625,279.6366666667,-0.3095431072,0,0,389.08,133.67,191.0750355353,,,,,
1382,2016,April,May,0,0,743.37,0,0,0,0,0,0,,,,,
1394,2016,April,March,8,0,482.54,-0.0938953846,0,0,0,0,0,,,,,
1406,2016,April,February,1.75,0.9545454545,219.054,0,0,0,209.1,0,100,,,,,
